,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Fwd Packet Length Max, Fwd Packet Length Mean,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, PSH Flag Count, ACK Flag Count, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Bwd Segment Size, min_seg_size_forward
173132,46855,432,443,860,34026,6,43,299,81.2,6,6,6.0,0.0,0,299,72.9,121.1091794,14667.43333,0,1,0,0,81.0,6.0,32
173133,46858,432,443,860,34048,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,32
173134,46856,432,443,860,34028,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173135,46857,432,443,860,34046,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173136,46873,433,443,860,54774,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173137,46914,436,443,858,58262,6,43,883,263.0,0,0,0.0,0.0,0,883,314.0,403.5690771,162868.0,0,1,0,0,366.3333333,0.0,20
173138,46915,436,443,858,58302,6,43,38,22.0,6,6,6.0,0.0,6,38,22.0,18.47520861,341.3333333,0,1,0,0,29.33333333,6.0,20
173139,46916,436,443,858,58309,6,43,38,22.0,6,6,6.0,0.0,6,38,22.0,18.47520861,341.3333333,0,1,0,0,29.33333333,6.0,20
173140,46917,436,443,858,58311,6,43,38,38.0,6,6,6.0,0.0,6,38,27.33333333,18.47520861,341.3333333,0,1,0,1,41.0,6.0,20
173141,46926,436,443,860,45818,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173142,46939,436,443,861,38631,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0,0,0.0,0.0,32
173143,47004,440,80,859,59229,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173144,47230,457,80,859,59257,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173145,47229,457,80,859,59256,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173146,47232,457,443,860,37014,6,43,38,12.66666667,6,6,6.0,0.0,0,38,8.8,16.52876281,273.2,0,1,0,0,11.0,6.0,32
173147,47231,457,443,860,37010,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173148,47429,474,80,859,59195,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173149,47431,474,80,859,59249,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173150,47430,474,80,859,59248,6,43,6,6.0,6,6,6.0,0.0,6,6,6.0,0.0,0.0,0,1,1,1,9.0,6.0,20
173151,47521,481,443,860,39206,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173152,47523,481,80,860,39838,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173153,47524,481,80,860,39842,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173154,47530,481,80,861,40831,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173155,47629,487,443,858,58291,6,43,38,22.0,6,6,6.0,0.0,6,38,22.0,18.47520861,341.3333333,0,1,0,0,29.33333333,6.0,20
173156,47791,499,443,858,58325,6,43,301,84.0,6,6,6.0,0.0,6,301,103.8571429,136.6326322,18668.47619,0,1,0,0,121.1666667,6.0,20
173157,47864,509,443,860,59984,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173158,47886,511,443,858,58215,6,43,6,6.0,0,0,0.0,0.0,6,6,6.0,0.0,0.0,0,1,0,0,9.0,0.0,20
173159,47891,511,443,860,59312,6,43,309,104.0,6,6,6.0,0.0,0,309,92.875,135.3666318,18324.125,0,1,0,0,106.1428571,6.0,32
173160,47890,511,443,860,59310,6,43,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,1,1,0.0,0.0,32
173161,47927,514,443,858,58300,6,43,38,16.66666667,6,6,6.0,0.0,6,38,12.4,14.31083506,204.8,0,1,0,0,15.5,6.0,20
